sample_id	image_path	Sampling_Date	State	Species	Pre_GSHH_NDVI	Height_Ave_cm	target_name	target
ID1011485656__Dry_Clover_g	train/ID1011485656.jpg	9/4/2015	Tas	Ryegrass_Clover	0.62	4.6667	Dry_Clover_g	0
ID1011485656__Dry_Dead_g	train/ID1011485656.jpg	9/4/2015	Tas	Ryegrass_Clover	0.62	4.6667	Dry_Dead_g	31.9984
ID1011485656__Dry_Green_g	train/ID1011485656.jpg	9/4/2015	Tas	Ryegrass_Clover	0.62	4.6667	Dry_Green_g	16.2751
ID1011485656__Dry_Total_g	train/ID1011485656.jpg	9/4/2015	Tas	Ryegrass_Clover	0.62	4.6667	Dry_Total_g	48.2735
ID1011485656__GDM_g	train/ID1011485656.jpg	9/4/2015	Tas	Ryegrass_Clover	0.62	4.6667	GDM_g	16.275
ID1012260530__Dry_Clover_g	train/ID1012260530.jpg	4/1/2015	NSW	Lucerne	0.55	16	Dry_Clover_g	0
ID1012260530__Dry_Dead_g	train/ID1012260530.jpg	4/1/2015	NSW	Lucerne	0.55	16	Dry_Dead_g	0
ID1012260530__Dry_Green_g	train/ID1012260530.jpg	4/1/2015	NSW	Lucerne	0.55	16	Dry_Green_g	7.6
ID1012260530__Dry_Total_g	train/ID1012260530.jpg	4/1/2015	NSW	Lucerne	0.55	16	Dry_Total_g	7.6
ID1012260530__GDM_g	train/ID1012260530.jpg	4/1/2015	NSW	Lucerne	0.55	16	GDM_g	7.6
ID1025234388__Dry_Clover_g	train/ID1025234388.jpg	9/1/2015	WA	SubcloverDalkeith	0.38	1	Dry_Clover_g	6.05
ID1025234388__Dry_Dead_g	train/ID1025234388.jpg	9/1/2015	WA	SubcloverDalkeith	0.38	1	Dry_Dead_g	0
ID1025234388__Dry_Green_g	train/ID1025234388.jpg	9/1/2015	WA	SubcloverDalkeith	0.38	1	Dry_Green_g	0
ID1025234388__Dry_Total_g	train/ID1025234388.jpg	9/1/2015	WA	SubcloverDalkeith	0.38	1	Dry_Total_g	6.05
ID1025234388__GDM_g	train/ID1025234388.jpg	9/1/2015	WA	SubcloverDalkeith	0.38	1	GDM_g	6.05
ID1028611175__Dry_Clover_g	train/ID1028611175.jpg	5/18/2015	Tas	Ryegrass	0.66	5	Dry_Clover_g	0
ID1028611175__Dry_Dead_g	train/ID1028611175.jpg	5/18/2015	Tas	Ryegrass	0.66	5	Dry_Dead_g	30.9703
ID1028611175__Dry_Green_g	train/ID1028611175.jpg	5/18/2015	Tas	Ryegrass	0.66	5	Dry_Green_g	24.2376
ID1028611175__Dry_Total_g	train/ID1028611175.jpg	5/18/2015	Tas	Ryegrass	0.66	5	Dry_Total_g	55.2079
ID1028611175__GDM_g	train/ID1028611175.jpg	5/18/2015	Tas	Ryegrass	0.66	5	GDM_g	24.2376
ID1035947949__Dry_Clover_g	train/ID1035947949.jpg	9/11/2015	Tas	Ryegrass	0.54	3.5	Dry_Clover_g	0.4343
ID1035947949__Dry_Dead_g	train/ID1035947949.jpg	9/11/2015	Tas	Ryegrass	0.54	3.5	Dry_Dead_g	23.2239
ID1035947949__Dry_Green_g	train/ID1035947949.jpg	9/11/2015	Tas	Ryegrass	0.54	3.5	Dry_Green_g	10.5261
ID1035947949__Dry_Total_g	train/ID1035947949.jpg	9/11/2015	Tas	Ryegrass	0.54	3.5	Dry_Total_g	34.1844
ID1035947949__GDM_g	train/ID1035947949.jpg	9/11/2015	Tas	Ryegrass	0.54	3.5	GDM_g	10.9605
ID1036339023__Dry_Clover_g	train/ID1036339023.jpg	9/30/2015	Vic	Phalaris_Clover	0.82	7	Dry_Clover_g	23.0755
ID1036339023__Dry_Dead_g	train/ID1036339023.jpg	9/30/2015	Vic	Phalaris_Clover	0.82	7	Dry_Dead_g	2.6135
ID1036339023__Dry_Green_g	train/ID1036339023.jpg	9/30/2015	Vic	Phalaris_Clover	0.82	7	Dry_Green_g	32.191
ID1036339023__Dry_Total_g	train/ID1036339023.jpg	9/30/2015	Vic	Phalaris_Clover	0.82	7	Dry_Total_g	57.88
ID1036339023__GDM_g	train/ID1036339023.jpg	9/30/2015	Vic	Phalaris_Clover	0.82	7	GDM_g	55.2665
ID1049634115__Dry_Clover_g	train/ID1049634115.jpg	7/2/2015	Vic	Ryegrass_Clover	0.72	2	Dry_Clover_g	1.5083
ID1049634115__Dry_Dead_g	train/ID1049634115.jpg	7/2/2015	Vic	Ryegrass_Clover	0.72	2	Dry_Dead_g	3.0167
ID1049634115__Dry_Green_g	train/ID1049634115.jpg	7/2/2015	Vic	Ryegrass_Clover	0.72	2	Dry_Green_g	13.575
ID1049634115__Dry_Total_g	train/ID1049634115.jpg	7/2/2015	Vic	Ryegrass_Clover	0.72	2	Dry_Total_g	18.1
ID1049634115__GDM_g	train/ID1049634115.jpg	7/2/2015	Vic	Ryegrass_Clover	0.72	2	GDM_g	15.0833
ID1051144034__Dry_Clover_g	train/ID1051144034.jpg	9/1/2015	WA	SubcloverLosa	0.8	1	Dry_Clover_g	55.32
ID1051144034__Dry_Dead_g	train/ID1051144034.jpg	9/1/2015	WA	SubcloverLosa	0.8	1	Dry_Dead_g	0
ID1051144034__Dry_Green_g	train/ID1051144034.jpg	9/1/2015	WA	SubcloverLosa	0.8	1	Dry_Green_g	0
ID1051144034__Dry_Total_g	train/ID1051144034.jpg	9/1/2015	WA	SubcloverLosa	0.8	1	Dry_Total_g	55.32
ID1051144034__GDM_g	train/ID1051144034.jpg	9/1/2015	WA	SubcloverLosa	0.8	1	GDM_g	55.32
ID1052620238__Dry_Clover_g	train/ID1052620238.jpg	5/18/2015	Tas	Ryegrass	0.68	5	Dry_Clover_g	0
ID1052620238__Dry_Dead_g	train/ID1052620238.jpg	5/18/2015	Tas	Ryegrass	0.68	5	Dry_Dead_g	11.2291
ID1052620238__Dry_Green_g	train/ID1052620238.jpg	5/18/2015	Tas	Ryegrass	0.68	5	Dry_Green_g	20.1707
ID1052620238__Dry_Total_g	train/ID1052620238.jpg	5/18/2015	Tas	Ryegrass	0.68	5	Dry_Total_g	31.3998
ID1052620238__GDM_g	train/ID1052620238.jpg	5/18/2015	Tas	Ryegrass	0.68	5	GDM_g	20.1707
ID105271783__Dry_Clover_g	train/ID105271783.jpg	6/30/2015	Vic	Phalaris_Clover	0.86	4	Dry_Clover_g	5.2698
ID105271783__Dry_Dead_g	train/ID105271783.jpg	6/30/2015	Vic	Phalaris_Clover	0.86	4	Dry_Dead_g	8.5635
ID105271783__Dry_Green_g	train/ID105271783.jpg	6/30/2015	Vic	Phalaris_Clover	0.86	4	Dry_Green_g	27.6667
ID105271783__Dry_Total_g	train/ID105271783.jpg	6/30/2015	Vic	Phalaris_Clover	0.86	4	Dry_Total_g	41.5
ID105271783__GDM_g	train/ID105271783.jpg	6/30/2015	Vic	Phalaris_Clover	0.86	4	GDM_g	32.9365
ID1053972079__Dry_Clover_g	train/ID1053972079.jpg	9/4/2015	Tas	Clover	0.56	2.5	Dry_Clover_g	21.0801
ID1053972079__Dry_Dead_g	train/ID1053972079.jpg	9/4/2015	Tas	Clover	0.56	2.5	Dry_Dead_g	7.9393
ID1053972079__Dry_Green_g	train/ID1053972079.jpg	9/4/2015	Tas	Clover	0.56	2.5	Dry_Green_g	1.3688
ID1053972079__Dry_Total_g	train/ID1053972079.jpg	9/4/2015	Tas	Clover	0.56	2.5	Dry_Total_g	30.3882
ID1053972079__GDM_g	train/ID1053972079.jpg	9/4/2015	Tas	Clover	0.56	2.5	GDM_g	22.4489
ID1058383417__Dry_Clover_g	train/ID1058383417.jpg	5/19/2015	Tas	Ryegrass_Clover	0.62	2	Dry_Clover_g	0.1
ID1058383417__Dry_Dead_g	train/ID1058383417.jpg	5/19/2015	Tas	Ryegrass_Clover	0.62	2	Dry_Dead_g	9.5
ID1058383417__Dry_Green_g	train/ID1058383417.jpg	5/19/2015	Tas	Ryegrass_Clover	0.62	2	Dry_Green_g	13.1
ID1058383417__Dry_Total_g	train/ID1058383417.jpg	5/19/2015	Tas	Ryegrass_Clover	0.62	2	Dry_Total_g	22.7
ID1058383417__GDM_g	train/ID1058383417.jpg	5/19/2015	Tas	Ryegrass_Clover	0.62	2	GDM_g	13.2
ID1062837331__Dry_Clover_g	train/ID1062837331.jpg	9/29/2015	Vic	Ryegrass_Clover	0.82	9	Dry_Clover_g	19.98
ID1062837331__Dry_Dead_g	train/ID1062837331.jpg	9/29/2015	Vic	Ryegrass_Clover	0.82	9	Dry_Dead_g	3.9623
ID1062837331__Dry_Green_g	train/ID1062837331.jpg	9/29/2015	Vic	Ryegrass_Clover	0.82	9	Dry_Green_g	35.4077
ID1062837331__Dry_Total_g	train/ID1062837331.jpg	9/29/2015	Vic	Ryegrass_Clover	0.82	9	Dry_Total_g	59.35
ID1062837331__GDM_g	train/ID1062837331.jpg	9/29/2015	Vic	Ryegrass_Clover	0.82	9	GDM_g	55.3877
ID1070112260__Dry_Clover_g	train/ID1070112260.jpg	1/15/2015	NSW	Fescue_CrumbWeed	0.6	6	Dry_Clover_g	0
ID1070112260__Dry_Dead_g	train/ID1070112260.jpg	1/15/2015	NSW	Fescue_CrumbWeed	0.6	6	Dry_Dead_g	9.8765
ID1070112260__Dry_Green_g	train/ID1070112260.jpg	1/15/2015	NSW	Fescue_CrumbWeed	0.6	6	Dry_Green_g	22.1235
ID1070112260__Dry_Total_g	train/ID1070112260.jpg	1/15/2015	NSW	Fescue_CrumbWeed	0.6	6	Dry_Total_g	32
ID1070112260__GDM_g	train/ID1070112260.jpg	1/15/2015	NSW	Fescue_CrumbWeed	0.6	6	GDM_g	22.1235
ID1078930021__Dry_Clover_g	train/ID1078930021.jpg	6/26/2015	Vic	Phalaris_Ryegrass_Clover	0.86	5	Dry_Clover_g	0
ID1078930021__Dry_Dead_g	train/ID1078930021.jpg	6/26/2015	Vic	Phalaris_Ryegrass_Clover	0.86	5	Dry_Dead_g	5.0189
ID1078930021__Dry_Green_g	train/ID1078930021.jpg	6/26/2015	Vic	Phalaris_Ryegrass_Clover	0.86	5	Dry_Green_g	32.9811
ID1078930021__Dry_Total_g	train/ID1078930021.jpg	6/26/2015	Vic	Phalaris_Ryegrass_Clover	0.86	5	Dry_Total_g	38
ID1078930021__GDM_g	train/ID1078930021.jpg	6/26/2015	Vic	Phalaris_Ryegrass_Clover	0.86	5	GDM_g	32.9811
ID1084819986__Dry_Clover_g	train/ID1084819986.jpg	9/4/2015	Tas	Clover	0.69	3.1667	Dry_Clover_g	21.4551
ID1084819986__Dry_Dead_g	train/ID1084819986.jpg	9/4/2015	Tas	Clover	0.69	3.1667	Dry_Dead_g	13.0742
ID1084819986__Dry_Green_g	train/ID1084819986.jpg	9/4/2015	Tas	Clover	0.69	3.1667	Dry_Green_g	2.6819
ID1084819986__Dry_Total_g	train/ID1084819986.jpg	9/4/2015	Tas	Clover	0.69	3.1667	Dry_Total_g	37.2112
ID1084819986__GDM_g	train/ID1084819986.jpg	9/4/2015	Tas	Clover	0.69	3.1667	GDM_g	24.137
ID1088965591__Dry_Clover_g	train/ID1088965591.jpg	4/1/2015	NSW	Lucerne	0.89	43	Dry_Clover_g	0
ID1088965591__Dry_Dead_g	train/ID1088965591.jpg	4/1/2015	NSW	Lucerne	0.89	43	Dry_Dead_g	0.3443
ID1088965591__Dry_Green_g	train/ID1088965591.jpg	4/1/2015	NSW	Lucerne	0.89	43	Dry_Green_g	59.5557
ID1088965591__Dry_Total_g	train/ID1088965591.jpg	4/1/2015	NSW	Lucerne	0.89	43	Dry_Total_g	59.9
ID1088965591__GDM_g	train/ID1088965591.jpg	4/1/2015	NSW	Lucerne	0.89	43	GDM_g	59.5557
ID1098771283__Dry_Clover_g	train/ID1098771283.jpg	11/9/2015	Tas	Clover	0.48	2.6667	Dry_Clover_g	8.376
ID1098771283__Dry_Dead_g	train/ID1098771283.jpg	11/9/2015	Tas	Clover	0.48	2.6667	Dry_Dead_g	15.1673
ID1098771283__Dry_Green_g	train/ID1098771283.jpg	11/9/2015	Tas	Clover	0.48	2.6667	Dry_Green_g	0.4528
ID1098771283__Dry_Total_g	train/ID1098771283.jpg	11/9/2015	Tas	Clover	0.48	2.6667	Dry_Total_g	23.9961
ID1098771283__GDM_g	train/ID1098771283.jpg	11/9/2015	Tas	Clover	0.48	2.6667	GDM_g	8.8287
ID1103883611__Dry_Clover_g	train/ID1103883611.jpg	2/24/2015	NSW	Phalaris	0.48	26	Dry_Clover_g	0
ID1103883611__Dry_Dead_g	train/ID1103883611.jpg	2/24/2015	NSW	Phalaris	0.48	26	Dry_Dead_g	12.9166
ID1103883611__Dry_Green_g	train/ID1103883611.jpg	2/24/2015	NSW	Phalaris	0.48	26	Dry_Green_g	82.7834
ID1103883611__Dry_Total_g	train/ID1103883611.jpg	2/24/2015	NSW	Phalaris	0.48	26	Dry_Total_g	95.7
ID1103883611__GDM_g	train/ID1103883611.jpg	2/24/2015	NSW	Phalaris	0.48	26	GDM_g	82.7834
ID1108283583__Dry_Clover_g	train/ID1108283583.jpg	8/19/2015	Vic	Phalaris_Ryegrass_Clover	0.83	5.5	Dry_Clover_g	5.773
ID1108283583__Dry_Dead_g	train/ID1108283583.jpg	8/19/2015	Vic	Phalaris_Ryegrass_Clover	0.83	5.5	Dry_Dead_g	7.2162
ID1108283583__Dry_Green_g	train/ID1108283583.jpg	8/19/2015	Vic	Phalaris_Ryegrass_Clover	0.83	5.5	Dry_Green_g	40.4108
ID1108283583__Dry_Total_g	train/ID1108283583.jpg	8/19/2015	Vic	Phalaris_Ryegrass_Clover	0.83	5.5	Dry_Total_g	53.4
ID1108283583__GDM_g	train/ID1108283583.jpg	8/19/2015	Vic	Phalaris_Ryegrass_Clover	0.83	5.5	GDM_g	46.1838
ID1113121340__Dry_Clover_g	train/ID1113121340.jpg	9/30/2015	Vic	Phalaris_Clover	0.8	16	Dry_Clover_g	0.2931
ID1113121340__Dry_Dead_g	train/ID1113121340.jpg	9/30/2015	Vic	Phalaris_Clover	0.8	16	Dry_Dead_g	11.6271
ID1113121340__Dry_Green_g	train/ID1113121340.jpg	9/30/2015	Vic	Phalaris_Clover	0.8	16	Dry_Green_g	82.6598
ID1113121340__Dry_Total_g	train/ID1113121340.jpg	9/30/2015	Vic	Phalaris_Clover	0.8	16	Dry_Total_g	94.58
ID1113121340__GDM_g	train/ID1113121340.jpg	9/30/2015	Vic	Phalaris_Clover	0.8	16	GDM_g	82.9529
ID1113329413__Dry_Clover_g	train/ID1113329413.jpg	6/29/2015	Tas	WhiteClover	0.72	3	Dry_Clover_g	20.6523
ID1113329413__Dry_Dead_g	train/ID1113329413.jpg	6/29/2015	Tas	WhiteClover	0.72	3	Dry_Dead_g	21.1112
ID1113329413__Dry_Green_g	train/ID1113329413.jpg	6/29/2015	Tas	WhiteClover	0.72	3	Dry_Green_g	1.3768
ID1113329413__Dry_Total_g	train/ID1113329413.jpg	6/29/2015	Tas	WhiteClover	0.72	3	Dry_Total_g	43.1403
ID1113329413__GDM_g	train/ID1113329413.jpg	6/29/2015	Tas	WhiteClover	0.72	3	GDM_g	22.0291
ID1119739385__Dry_Clover_g	train/ID1119739385.jpg	5/18/2015	Tas	Ryegrass	0.28	4	Dry_Clover_g	0
ID1119739385__Dry_Dead_g	train/ID1119739385.jpg	5/18/2015	Tas	Ryegrass	0.28	4	Dry_Dead_g	3
ID1119739385__Dry_Green_g	train/ID1119739385.jpg	5/18/2015	Tas	Ryegrass	0.28	4	Dry_Green_g	6.8
ID1119739385__Dry_Total_g	train/ID1119739385.jpg	5/18/2015	Tas	Ryegrass	0.28	4	Dry_Total_g	9.8
ID1119739385__GDM_g	train/ID1119739385.jpg	5/18/2015	Tas	Ryegrass	0.28	4	GDM_g	6.8
ID1119761112__Dry_Clover_g	train/ID1119761112.jpg	5/7/2015	NSW	Fescue	0.42	4	Dry_Clover_g	0
ID1119761112__Dry_Dead_g	train/ID1119761112.jpg	5/7/2015	NSW	Fescue	0.42	4	Dry_Dead_g	32.4486
ID1119761112__Dry_Green_g	train/ID1119761112.jpg	5/7/2015	NSW	Fescue	0.42	4	Dry_Green_g	22.9514
ID1119761112__Dry_Total_g	train/ID1119761112.jpg	5/7/2015	NSW	Fescue	0.42	4	Dry_Total_g	55.4
ID1119761112__GDM_g	train/ID1119761112.jpg	5/7/2015	NSW	Fescue	0.42	4	GDM_g	22.9514
ID1121692672__Dry_Clover_g	train/ID1121692672.jpg	2/24/2015	NSW	Phalaris	0.52	38	Dry_Clover_g	0
ID1121692672__Dry_Dead_g	train/ID1121692672.jpg	2/24/2015	NSW	Phalaris	0.52	38	Dry_Dead_g	1.3958
ID1121692672__Dry_Green_g	train/ID1121692672.jpg	2/24/2015	NSW	Phalaris	0.52	38	Dry_Green_g	109.8042
ID1121692672__Dry_Total_g	train/ID1121692672.jpg	2/24/2015	NSW	Phalaris	0.52	38	Dry_Total_g	111.2
ID1121692672__GDM_g	train/ID1121692672.jpg	2/24/2015	NSW	Phalaris	0.52	38	GDM_g	109.8042
ID1127246618__Dry_Clover_g	train/ID1127246618.jpg	5/18/2015	Tas	Ryegrass	0.77	7	Dry_Clover_g	3.0196
ID1127246618__Dry_Dead_g	train/ID1127246618.jpg	5/18/2015	Tas	Ryegrass	0.77	7	Dry_Dead_g	25.8824
ID1127246618__Dry_Green_g	train/ID1127246618.jpg	5/18/2015	Tas	Ryegrass	0.77	7	Dry_Green_g	32.3529
ID1127246618__Dry_Total_g	train/ID1127246618.jpg	5/18/2015	Tas	Ryegrass	0.77	7	Dry_Total_g	61.2549
ID1127246618__GDM_g	train/ID1127246618.jpg	5/18/2015	Tas	Ryegrass	0.77	7	GDM_g	35.3725
ID112966473__Dry_Clover_g	train/ID112966473.jpg	8/14/2015	Vic	Ryegrass_Clover	0.74	3	Dry_Clover_g	11.2
ID112966473__Dry_Dead_g	train/ID112966473.jpg	8/14/2015	Vic	Ryegrass_Clover	0.74	3	Dry_Dead_g	2.8
ID112966473__Dry_Green_g	train/ID112966473.jpg	8/14/2015	Vic	Ryegrass_Clover	0.74	3	Dry_Green_g	19.6
ID112966473__Dry_Total_g	train/ID112966473.jpg	8/14/2015	Vic	Ryegrass_Clover	0.74	3	Dry_Total_g	33.6
ID112966473__GDM_g	train/ID112966473.jpg	8/14/2015	Vic	Ryegrass_Clover	0.74	3	GDM_g	30.8
ID1131079710__Dry_Clover_g	train/ID1131079710.jpg	11/9/2015	Tas	Clover	0.57	1.5	Dry_Clover_g	15.4794
ID1131079710__Dry_Dead_g	train/ID1131079710.jpg	11/9/2015	Tas	Clover	0.57	1.5	Dry_Dead_g	11.119
ID1131079710__Dry_Green_g	train/ID1131079710.jpg	11/9/2015	Tas	Clover	0.57	1.5	Dry_Green_g	1.5261
ID1131079710__Dry_Total_g	train/ID1131079710.jpg	11/9/2015	Tas	Clover	0.57	1.5	Dry_Total_g	28.1246
ID1131079710__GDM_g	train/ID1131079710.jpg	11/9/2015	Tas	Clover	0.57	1.5	GDM_g	17.0055
ID1136169672__Dry_Clover_g	train/ID1136169672.jpg	5/18/2015	Tas	Ryegrass	0.62	5	Dry_Clover_g	0
ID1136169672__Dry_Dead_g	train/ID1136169672.jpg	5/18/2015	Tas	Ryegrass	0.62	5	Dry_Dead_g	6.808
ID1136169672__Dry_Green_g	train/ID1136169672.jpg	5/18/2015	Tas	Ryegrass	0.62	5	Dry_Green_g	16.3107
ID1136169672__Dry_Total_g	train/ID1136169672.jpg	5/18/2015	Tas	Ryegrass	0.62	5	Dry_Total_g	23.1187
ID1136169672__GDM_g	train/ID1136169672.jpg	5/18/2015	Tas	Ryegrass	0.62	5	GDM_g	16.3108
ID1139866256__Dry_Clover_g	train/ID1139866256.jpg	5/7/2015	NSW	Fescue	0.66	13	Dry_Clover_g	0
ID1139866256__Dry_Dead_g	train/ID1139866256.jpg	5/7/2015	NSW	Fescue	0.66	13	Dry_Dead_g	83.8407
ID1139866256__Dry_Green_g	train/ID1139866256.jpg	5/7/2015	NSW	Fescue	0.66	13	Dry_Green_g	74.0593
ID1139866256__Dry_Total_g	train/ID1139866256.jpg	5/7/2015	NSW	Fescue	0.66	13	Dry_Total_g	157.9
ID1139866256__GDM_g	train/ID1139866256.jpg	5/7/2015	NSW	Fescue	0.66	13	GDM_g	74.0593
ID1139918758__Dry_Clover_g	train/ID1139918758.jpg	8/21/2015	WA	Clover	0.79	3	Dry_Clover_g	58.34
ID1139918758__Dry_Dead_g	train/ID1139918758.jpg	8/21/2015	WA	Clover	0.79	3	Dry_Dead_g	0
ID1139918758__Dry_Green_g	train/ID1139918758.jpg	8/21/2015	WA	Clover	0.79	3	Dry_Green_g	0
ID1139918758__Dry_Total_g	train/ID1139918758.jpg	8/21/2015	WA	Clover	0.79	3	Dry_Total_g	58.34
ID1139918758__GDM_g	train/ID1139918758.jpg	8/21/2015	WA	Clover	0.79	3	GDM_g	58.34
ID1140993511__Dry_Clover_g	train/ID1140993511.jpg	8/14/2015	Vic	Ryegrass_Clover	0.71	2	Dry_Clover_g	4.6
ID1140993511__Dry_Dead_g	train/ID1140993511.jpg	8/14/2015	Vic	Ryegrass_Clover	0.71	2	Dry_Dead_g	2.3
ID1140993511__Dry_Green_g	train/ID1140993511.jpg	8/14/2015	Vic	Ryegrass_Clover	0.71	2	Dry_Green_g	16.1
ID1140993511__Dry_Total_g	train/ID1140993511.jpg	8/14/2015	Vic	Ryegrass_Clover	0.71	2	Dry_Total_g	23
ID1140993511__GDM_g	train/ID1140993511.jpg	8/14/2015	Vic	Ryegrass_Clover	0.71	2	GDM_g	20.7
ID1148528732__Dry_Clover_g	train/ID1148528732.jpg	8/18/2015	Vic	Phalaris_Clover	0.86	3.2	Dry_Clover_g	12.4113
ID1148528732__Dry_Dead_g	train/ID1148528732.jpg	8/18/2015	Vic	Phalaris_Clover	0.86	3.2	Dry_Dead_g	0
ID1148528732__Dry_Green_g	train/ID1148528732.jpg	8/18/2015	Vic	Phalaris_Clover	0.86	3.2	Dry_Green_g	28.0887
ID1148528732__Dry_Total_g	train/ID1148528732.jpg	8/18/2015	Vic	Phalaris_Clover	0.86	3.2	Dry_Total_g	40.5
ID1148528732__GDM_g	train/ID1148528732.jpg	8/18/2015	Vic	Phalaris_Clover	0.86	3.2	GDM_g	40.5
ID1148666289__Dry_Clover_g	train/ID1148666289.jpg	6/26/2015	Vic	Phalaris_Ryegrass_Clover	0.81	3.5	Dry_Clover_g	4.0923
ID1148666289__Dry_Dead_g	train/ID1148666289.jpg	6/26/2015	Vic	Phalaris_Ryegrass_Clover	0.81	3.5	Dry_Dead_g	14.3231
ID1148666289__Dry_Green_g	train/ID1148666289.jpg	6/26/2015	Vic	Phalaris_Ryegrass_Clover	0.81	3.5	Dry_Green_g	21.4846
ID1148666289__Dry_Total_g	train/ID1148666289.jpg	6/26/2015	Vic	Phalaris_Ryegrass_Clover	0.81	3.5	Dry_Total_g	39.9
ID1148666289__GDM_g	train/ID1148666289.jpg	6/26/2015	Vic	Phalaris_Ryegrass_Clover	0.81	3.5	GDM_g	25.5769
ID1149598723__Dry_Clover_g	train/ID1149598723.jpg	5/7/2015	NSW	Lucerne	0.87	43	Dry_Clover_g	0
ID1149598723__Dry_Dead_g	train/ID1149598723.jpg	5/7/2015	NSW	Lucerne	0.87	43	Dry_Dead_g	5.3831
ID1149598723__Dry_Green_g	train/ID1149598723.jpg	5/7/2015	NSW	Lucerne	0.87	43	Dry_Green_g	58.3169
ID1149598723__Dry_Total_g	train/ID1149598723.jpg	5/7/2015	NSW	Lucerne	0.87	43	Dry_Total_g	63.7
ID1149598723__GDM_g	train/ID1149598723.jpg	5/7/2015	NSW	Lucerne	0.87	43	GDM_g	58.3169
ID1159071020__Dry_Clover_g	train/ID1159071020.jpg	9/30/2015	Vic	Phalaris_Clover	0.74	7	Dry_Clover_g	1.3191
ID1159071020__Dry_Dead_g	train/ID1159071020.jpg	9/30/2015	Vic	Phalaris_Clover	0.74	7	Dry_Dead_g	6.7982
ID1159071020__Dry_Green_g	train/ID1159071020.jpg	9/30/2015	Vic	Phalaris_Clover	0.74	7	Dry_Green_g	46.5727
ID1159071020__Dry_Total_g	train/ID1159071020.jpg	9/30/2015	Vic	Phalaris_Clover	0.74	7	Dry_Total_g	54.69
ID1159071020__GDM_g	train/ID1159071020.jpg	9/30/2015	Vic	Phalaris_Clover	0.74	7	GDM_g	47.8918
ID1163061745__Dry_Clover_g	train/ID1163061745.jpg	6/29/2015	Tas	WhiteClover	0.5	2	Dry_Clover_g	5.2
ID1163061745__Dry_Dead_g	train/ID1163061745.jpg	6/29/2015	Tas	WhiteClover	0.5	2	Dry_Dead_g	6.7
ID1163061745__Dry_Green_g	train/ID1163061745.jpg	6/29/2015	Tas	WhiteClover	0.5	2	Dry_Green_g	1.2
ID1163061745__Dry_Total_g	train/ID1163061745.jpg	6/29/2015	Tas	WhiteClover	0.5	2	Dry_Total_g	13.1
ID1163061745__GDM_g	train/ID1163061745.jpg	6/29/2015	Tas	WhiteClover	0.5	2	GDM_g	6.4
ID1168534540__Dry_Clover_g	train/ID1168534540.jpg	5/7/2015	NSW	Fescue	0.86	9	Dry_Clover_g	0
ID1168534540__Dry_Dead_g	train/ID1168534540.jpg	5/7/2015	NSW	Fescue	0.86	9	Dry_Dead_g	8.6892
ID1168534540__Dry_Green_g	train/ID1168534540.jpg	5/7/2015	NSW	Fescue	0.86	9	Dry_Green_g	55.6108
ID1168534540__Dry_Total_g	train/ID1168534540.jpg	5/7/2015	NSW	Fescue	0.86	9	Dry_Total_g	64.3
ID1168534540__GDM_g	train/ID1168534540.jpg	5/7/2015	NSW	Fescue	0.86	9	GDM_g	55.6108
ID1176292407__Dry_Clover_g	train/ID1176292407.jpg	6/26/2015	Tas	Ryegrass_Clover	0.5	3	Dry_Clover_g	0.1308
ID1176292407__Dry_Dead_g	train/ID1176292407.jpg	6/26/2015	Tas	Ryegrass_Clover	0.5	3	Dry_Dead_g	16.7365
ID1176292407__Dry_Green_g	train/ID1176292407.jpg	6/26/2015	Tas	Ryegrass_Clover	0.5	3	Dry_Green_g	9.022
ID1176292407__Dry_Total_g	train/ID1176292407.jpg	6/26/2015	Tas	Ryegrass_Clover	0.5	3	Dry_Total_g	25.8893
ID1176292407__GDM_g	train/ID1176292407.jpg	6/26/2015	Tas	Ryegrass_Clover	0.5	3	GDM_g	9.1528
ID1182523622__Dry_Clover_g	train/ID1182523622.jpg	6/29/2015	Tas	WhiteClover	0.48	2	Dry_Clover_g	3.1059
ID1182523622__Dry_Dead_g	train/ID1182523622.jpg	6/29/2015	Tas	WhiteClover	0.48	2	Dry_Dead_g	14.7193
ID1182523622__Dry_Green_g	train/ID1182523622.jpg	6/29/2015	Tas	WhiteClover	0.48	2	Dry_Green_g	0.6752
ID1182523622__Dry_Total_g	train/ID1182523622.jpg	6/29/2015	Tas	WhiteClover	0.48	2	Dry_Total_g	18.5004
ID1182523622__GDM_g	train/ID1182523622.jpg	6/29/2015	Tas	WhiteClover	0.48	2	GDM_g	3.7811
ID1183807388__Dry_Clover_g	train/ID1183807388.jpg	7/1/2015	Tas	Ryegrass	0.7	5	Dry_Clover_g	0
ID1183807388__Dry_Dead_g	train/ID1183807388.jpg	7/1/2015	Tas	Ryegrass	0.7	5	Dry_Dead_g	20.9156
